camera,range_m,speed_m_s,heading_rel_deg,pos_std_m,vel_std_m_s,ego_vx
1759902470200299082,4.391,15.894,0.53,0.0997,0.3855,19.2715
1759902470254843752,4.208,15.607,0.13,0.1017,0.3886,19.4152
1759902470304362970,3.971,15.18,-1.2,0.1017,0.3884,19.5297
1759902470354756092,3.954,15.36,-0.92,0.1019,0.3888,19.6659
1759902470400104575,3.951,15.489,-0.69,0.1008,0.3876,19.7695
1759902470452279731,4.072,15.537,1.8,0.1018,0.3893,19.8538
1759902470499802155,3.94,15.127,-1.04,0.1013,0.3886,19.9519
1759902470549770679,3.834,15.106,-3.23,0.1016,0.3885,20.1067
1759902470626075499,4.057,15.438,-0.65,0.1075,0.3972,20.2935
1759902470677021464,3.934,15.45,-1.56,0.1053,0.3938,20.4132
1759902470729260312,3.976,15.161,-5.34,0.1043,0.3914,20.5071
1759902470778464860,4.091,15.049,-5.47,0.103,0.3895,20.6965
1759902470822539887,3.939,14.913,-5.33,0.1011,0.3872,20.8147
1759902470877050803,3.781,14.856,-5.01,0.1023,0.3899,21.009
1759902470917543306,3.932,15.121,-4.55,0.0998,0.3869,21.1181
1759902470980153981,3.765,15.258,-3.59,0.1033,0.393,21.2506
1759902471018932169,3.997,17.412,-2.14,0.1,0.3882,21.3329
1759902471063390536,3.981,16.664,2.86,0.0994,0.3829,21.3873
1759902471108244276,4.043,16.156,6.42,0.0991,0.3772,21.4582
1759902471163507686,5.276,17.637,6.63,0.1013,0.3799,21.5487
1759902471209794907,5.079,17.728,10.8,0.1005,0.3769,21.6473
1759902471249685553,5.237,18.842,12.69,0.0985,0.3737,21.7444
1759902471299573653,4.872,17.711,8.08,0.0996,0.3777,21.8544
1759902471349500567,4.603,16.974,4.49,0.1003,0.3803,21.9604
1759902471400356010,4.674,16.281,0.76,0.1009,0.3813,22.0332
1759902471450487534,4.683,16.09,5.24,0.1012,0.3834,22.1305
1759902471499660752,4.457,16.529,8.24,0.1011,0.3844,22.2134
1759902471581048846,4.632,17.093,10.3,0.1078,0.3956,22.3532
1759902471622336233,4.558,16.312,3.74,0.1028,0.3884,22.3905
1759902471672782075,4.568,16.268,1.15,0.1021,0.3878,22.4007
1759902471730669553,4.865,16.152,-3.49,0.1033,0.3878,22.3473
1759902471778509011,5.636,16.249,-7.44,0.1018,0.3832,22.2842
1759902471817616896,6.22,16.154,-9.54,0.099,0.378,22.2235
1759902471870413397,5.454,16.163,-8.49,0.1006,0.3813,22.1582
1759902471912604776,4.93,15.623,-8.26,0.0991,0.3799,22.1025
1759902471969667012,4.517,15.174,-7.67,0.1018,0.3849,22.0061
1759902472015057795,4.265,14.899,-7.08,0.1007,0.3841,21.9834
1759902472062353637,4.448,15.295,-7.44,0.1005,0.3847,21.9559
1759902472113889937,4.173,16.083,-7.52,0.1014,0.3867,22.026
1759902472162559236,4.312,16.454,-7.36,0.1013,0.387,22.1602
1759902472208878818,4.204,17.059,-9.93,0.1006,0.386,22.1062
1759902472273250017,4.579,16.461,-6.32,0.1043,0.3919,22.1219
1759902472306230280,4.923,16.004,-3.81,0.0993,0.3847,22.1664
1759902472354297401,4.416,15.436,-3.26,0.0999,0.3864,22.1216
1759902472404654234,4.218,15.975,3.73,0.1007,0.3852,22.1105
1759902472450445220,4.089,17.096,9.42,0.1,0.3797,22.1732
1759902472531381473,3.894,16.213,7.69,0.1074,0.3898,22.2117
1759902472568586273,3.769,15.767,7.34,0.1019,0.3822,22.2183
1759902472628522764,3.775,16.029,2.45,0.1038,0.3868,22.2587
1759902472664903785,3.919,16.215,-0.91,0.0998,0.3808,22.2814
1759902472732495448,3.795,16.084,-0.1,0.1045,0.3893,22.2573
1759902472778534737,3.92,16.267,4.32,0.1024,0.3868,22.2607
1759902472828842707,3.83,16.248,7.87,0.102,0.3861,22.2181
1759902472880995541,3.95,15.654,3.05,0.1021,0.3873,22.1844
1759902472938156845,4.076,15.714,0.45,0.1034,0.3896,22.205
1759902472978826576,4.231,15.713,-1.36,0.1005,0.3852,22.1891
1759902473024397072,4.246,16.972,-1.37,0.0999,0.3851,22.2152
1759902473071913143,3.93,16.407,-1.75,0.1001,0.3858,22.2508
1759902473114299534,4.088,17.833,7.89,0.0988,0.3835,22.2312
1759902473164093234,3.973,17.562,5.67,0.0998,0.3858,22.2253
1759902473215274488,3.88,17.402,3.77,0.1006,0.3879,22.1883
1759902473263446639,3.615,16.557,1.26,0.1004,0.3875,22.1827
1759902473317150939,3.55,16.388,1.2,0.1014,0.39,22.1737
1759902473355878139,3.764,16.732,-1.93,0.0987,0.3853,22.1813
1759902473400198563,3.755,16.738,-3.42,0.0984,0.3839,22.1467
1759902473450377868,3.731,16.728,-4.48,0.0997,0.3848,22.1496
1759902473523143517,3.586,16.69,-6.12,0.1056,0.3915,22.1265
1759902473578700446,3.535,16.288,-5.48,0.105,0.3902,22.1188
1759902473619190153,3.543,16.017,-4.98,0.1014,0.3856,22.1421
1759902473670396715,3.777,17.255,-4.48,0.1018,0.3873,22.1456
1759902473704669169,3.723,16.768,-0.71,0.0981,0.3826,22.1402
1759902473759147844,3.814,17.172,2.53,0.1005,0.3866,22.1523
1759902473804476709,3.949,17.505,4.71,0.0997,0.3855,22.1915
1759902473854717291,4.201,17.142,6.45,0.1002,0.3862,22.2082
1759902473905452234,4.177,16.716,4.09,0.1004,0.388,22.2623
1759902473960386256,3.823,16.426,0.39,0.101,0.3906,22.2595
1759902474004524333,3.78,16.492,-3.56,0.099,0.3867,22.2469
1759902474059858427,3.54,16.82,-9.15,0.1006,0.3829,22.1927
1759902474104660469,3.508,16.939,-12.7,0.0995,0.374,22.1563
1759902474154616058,3.808,16.561,-12.78,0.1001,0.3722,22.1382
1759902474203853018,3.796,17.806,-12.58,0.1003,0.3732,22.1637
1759902474255842411,4.157,18.734,-7.46,0.1011,0.3772,22.181
1759902474306213761,4.282,17.657,-5.45,0.1013,0.3798,22.2279
1759902474356689932,4.366,16.893,-3.99,0.1014,0.382,22.2607
1759902474407889310,4.268,16.583,-0.47,0.1015,0.3834,22.2487
1759902474449562111,4.293,18.242,0.5,0.0993,0.382,22.2221
1759902474528442147,4.315,17.956,-1.4,0.1065,0.3939,22.2219
1759902474565897053,4.365,17.497,-2.83,0.1014,0.3868,22.2338
1759902474609517485,4.217,17.485,-9.44,0.0999,0.3805,22.2466
1759902474670932392,4.058,16.79,-9.53,0.1032,0.383,22.247
1759902474722803149,4.28,17.152,-9.25,0.1028,0.3826,22.2438
1759902474815742375,3.89,18.27,-5.6,0.1112,0.3969,22.1879
1759902474865344922,3.694,17.431,-3.12,0.1068,0.3916,22.1983
1759902474908061992,3.739,16.781,-2.84,0.1029,0.3874,22.1994
1759902474963160638,3.852,16.904,-4.62,0.1035,0.39,22.2119
1759902475017806250,3.96,17.005,-5.69,0.1037,0.3913,22.1754
1759902475059883371,4.216,16.421,-3.98,0.101,0.3883,22.1533
1759902475112783659,3.896,15.823,-3.39,0.1019,0.3906,22.1464
1759902475159043268,3.882,15.788,-3.02,0.1009,0.3898,22.1595
1759902475215992418,4.057,15.836,0.66,0.1028,0.3918,22.208
1759902475255034969,4.271,15.821,3.1,0.0998,0.3862,22.2045
1759902475310374924,4.181,17.009,4.41,0.1019,0.3885,22.1831
1759902475355313537,4.272,16.961,11.21,0.1006,0.3801,22.1526
1759902475432752036,4.409,16.754,10.2,0.1068,0.3882,22.166
1759902475479118458,4.401,17.687,7.0,0.1035,0.3847,22.2132
1759902475527680583,4.075,16.893,3.37,0.1023,0.3839,22.2729
1759902475576229412,3.768,16.334,2.26,0.1016,0.3841,22.2858
1759902475626307975,3.975,15.924,-0.44,0.1016,0.3842,22.2769
1759902475668615314,4.158,15.6,-2.29,0.0998,0.3814,22.2553
1759902475720104284,3.973,17.122,-6.75,0.1009,0.3822,22.2147
1759902475768176265,3.861,16.531,-1.78,0.1007,0.3832,22.1895
1759902475813340617,3.961,17.201,0.72,0.1,0.383,22.2029
1759902475863817449,4.296,17.068,1.73,0.1009,0.3849,22.253
1759902475908939440,4.558,16.936,2.23,0.1001,0.3843,22.299
1759902475957107143,4.098,16.069,-0.01,0.1004,0.3855,22.327
1759902476000677068,4.922,16.355,-4.59,0.0995,0.3833,22.3361
1759902476051845727,4.464,16.363,-7.79,0.1007,0.3832,22.3464
1759902476101837495,4.351,19.145,-8.89,0.1011,0.3835,22.3069
1759902476152656829,4.326,21.169,-9.03,0.1016,0.3845,22.2285
1759902476200204461,4.571,20.303,-10.7,0.101,0.3832,22.1764
1759902476250525456,4.376,19.61,-6.03,0.1013,0.3846,22.1165
1759902476299578926,4.135,17.992,-3.37,0.1012,0.3846,22.1055
1759902476350408359,4.205,18.337,2.75,0.1016,0.3824,22.1007
1759902476402967878,4.177,19.434,5.35,0.1021,0.3819,22.1223
1759902476480387833,4.031,18.128,5.16,0.1076,0.3906,22.1924
1759902476538796874,3.963,17.481,-3.1,0.1067,0.388,22.2411
1759902476588565547,3.982,16.593,0.16,0.1043,0.3862,22.2558
1759902476631814450,4.031,16.029,2.13,0.1016,0.3837,22.2528
1759902476679228628,3.856,16.186,-4.87,0.101,0.3824,22.2439
1759902476730904303,3.865,15.586,-5.63,0.1016,0.383,22.2455
1759902476778457376,4.168,17.609,-12.36,0.1009,0.38,22.2199
1759902476828625359,4.247,17.881,-9.14,0.1011,0.3814,22.2044
1759902476875060221,4.34,18.112,-6.38,0.1005,0.3819,22.2183
1759902476926041995,4.113,18.317,-0.77,0.1012,0.3822,22.2188
1759902476973258055,4.407,18.212,-0.04,0.1007,0.3816,22.2165
1759902477025148840,4.436,17.882,0.18,0.1015,0.3836,22.2342
1759902477064411670,4.38,17.008,2.93,0.0991,0.3795,22.2343
1759902477114227182,4.331,16.41,4.85,0.1001,0.3804,22.2159
1759902477161885475,4.097,16.49,1.57,0.1001,0.3819,22.166
1759902477205863197,3.774,15.994,-2.47,0.0993,0.3808,22.1739
1759902477260403268,3.49,15.571,-1.52,0.1013,0.3848,22.1856
1759902477309554304,3.529,15.944,1.77,0.1012,0.3858,22.1914
1759902477350546589,3.626,16.252,4.06,0.0992,0.3836,22.1953
1759902477444978479,3.838,16.709,11.22,0.109,0.3978,22.1753
1759902477486919051,3.973,17.198,8.58,0.1031,0.3905,22.1654
1759902477533214056,4.073,17.566,6.11,0.1008,0.389,22.161
1759902477570178178,4.947,17.625,0.8,0.0978,0.3824,22.1993
1759902477623085349,4.679,18.005,0.27,0.0996,0.3851,22.249
1759902477678927992,4.519,17.281,-1.3,0.1012,0.387,22.3004
1759902477724271155,4.202,16.239,-1.58,0.0997,0.3858,22.3025
1759902477772077439,3.937,15.583,-2.16,0.0993,0.3872,22.2968
1759902477818468207,3.791,15.455,-1.44,0.0986,0.3889,22.2394
1759902477870195140,3.767,15.783,0.47,0.0993,0.3928,22.2073
1759902477918757094,4.019,16.858,0.51,0.0991,0.3939,22.1971
1759902477964492645,4.329,17.432,0.43,0.0986,0.3932,22.2164
1759902478023379085,4.315,18.257,-8.33,0.1009,0.3884,22.2394
1759902478067647160,4.535,18.615,-13.33,0.0993,0.3762,22.2788
1759902478117793011,4.645,19.551,-14.44,0.0999,0.3729,22.3144
1759902478170232882,4.338,18.597,-10.38,0.1007,0.3759,22.281
1759902478217796605,4.558,18.254,-9.94,0.1002,0.3773,22.2634
1759902478281067347,4.774,17.851,-10.18,0.1036,0.3842,22.2439
1759902478310501756,4.997,17.525,-10.22,0.0979,0.3769,22.2248
1759902478357011651,4.908,17.12,-6.69,0.0986,0.3802,22.1894
1759902478433147860,4.758,18.241,-12.13,0.1057,0.3905,22.1951
1759902478483743438,5.292,18.996,-16.57,0.104,0.3851,22.2059
1759902478541067332,6.003,18.439,-12.04,0.1044,0.3871,22.206
1759902478581712867,5.503,18.202,-6.92,0.1011,0.3832,22.2168
1759902478638698637,5.218,17.008,-6.67,0.1028,0.3875,22.2367
1759902478675232299,5.055,16.233,-6.1,0.0992,0.3834,22.2395
1759902478762893612,4.557,16.943,-4.38,0.1084,0.3983,22.2018
1759902478809498568,4.56,16.197,0.46,0.1046,0.3911,22.2185
1759902478860533934,4.249,16.882,7.5,0.1034,0.3851,22.2038
1759902478928846340,4.115,16.974,3.6,0.1065,0.3908,22.1537
1759902478956869029,4.188,17.071,1.08,0.0994,0.3816,22.1435
1759902479006282826,4.33,17.388,5.8,0.1002,0.3836,22.167
1759902479083071137,3.842,16.441,2.3,0.1067,0.3944,22.2643
1759902479108503503,4.178,17.774,2.2,0.099,0.3838,22.2768
1759902479163772142,4.378,17.465,2.8,0.1014,0.3887,22.2486
1759902479242686894,4.066,18.345,-3.78,0.1079,0.3969,22.2134
1759902479266939262,4.109,18.964,-7.73,0.0993,0.3821,22.2155
1759902479314594388,4.696,17.808,-3.02,0.0997,0.3839,22.1929
1759902479355388025,4.844,17.201,-0.66,0.0984,0.3825,22.2119
1759902479402216256,4.935,17.299,-1.12,0.0992,0.3843,22.2512
