camera,range_m,speed_m_s,heading_rel_deg,pos_std_m,vel_std_m_s,ego_vx
1759902485489551607,5.222,16.178,5.0,0.1057,0.3941,11.8535
1759902485533232575,5.259,15.319,6.26,0.1026,0.39,11.7902
1759902485583040504,5.204,16.887,6.53,0.1022,0.3902,11.7222
1759902485625955122,5.178,18.014,6.56,0.1004,0.3883,11.63
1759902485667680685,4.974,16.779,3.82,0.099,0.3862,11.5884
1759902485714640058,4.909,16.021,3.07,0.0995,0.3868,11.5227
1759902485766473646,5.041,15.904,5.43,0.101,0.3892,11.4232
1759902485817919806,5.151,15.824,7.09,0.1018,0.3902,11.3184
1759902485864660743,4.962,16.005,2.2,0.1011,0.3885,11.2528
1759902485914973654,5.286,16.747,-3.34,0.1014,0.3865,11.1686
1759902485963272369,5.233,16.922,1.58,0.1012,0.3867,11.0853
1759902486010317425,5.337,18.001,5.45,0.1008,0.3866,10.9951
1759902486056895652,5.463,18.81,8.25,0.1005,0.3862,10.9357
1759902486104025530,5.719,17.876,4.91,0.1004,0.3865,10.8634
1759902486155803752,5.682,18.603,-1.69,0.1014,0.3863,10.7484
1759902486201589229,5.593,19.11,-3.67,0.1006,0.3837,10.6793
1759902486251069404,5.856,18.208,-5.6,0.1009,0.3827,10.6221
1759902486335793525,5.659,17.138,-3.42,0.1088,0.3952,10.4721
1759902486386842168,5.621,16.395,2.4,0.1058,0.391,10.3825
1759902486432063129,5.911,15.643,1.91,0.1029,0.3878,10.3136
1759902486483128133,5.686,16.778,6.75,0.1026,0.3876,10.242
1759902486526427735,5.557,17.635,10.11,0.1006,0.3843,10.1677
1759902486582860944,5.793,18.605,13.41,0.1025,0.3864,10.0723
1759902486616472912,5.629,18.246,12.09,0.0983,0.3808,10.0009
1759902486665899074,5.448,18.122,6.68,0.0996,0.3837,9.9209
1759902486714405404,5.367,18.116,2.5,0.1001,0.3838,9.846
1759902486760932483,5.636,17.586,2.81,0.1,0.3838,9.7969
1759902486800179805,5.464,16.857,2.85,0.0983,0.3817,9.7517
1759902486869203519,5.5,17.612,5.46,0.1041,0.3912,9.6495
1759902486905953113,5.477,18.566,6.59,0.1001,0.3856,9.585
1759902486956174760,5.562,19.269,7.37,0.1009,0.3874,9.5065
1759902487017255804,5.705,17.92,4.3,0.1039,0.3918,9.4335
1759902487050309829,5.71,17.266,7.57,0.0991,0.385,9.3684
1759902487101606744,5.535,16.683,7.32,0.1006,0.3878,9.2602
1759902487153543769,5.569,16.046,3.84,0.1016,0.3893,9.2133
1759902487200485218,5.579,15.598,1.33,0.101,0.388,9.1272
1759902487250788631,5.428,15.023,8.39,0.1015,0.3882,9.0536
1759902487330460158,5.693,16.27,10.46,0.1082,0.3974,8.9523
1759902487378029993,5.78,17.088,11.6,0.1048,0.3924,8.8967
1759902487422588313,5.571,16.489,9.03,0.1023,0.3894,8.8635
1759902487474232430,5.737,15.505,6.29,0.1024,0.3899,8.801
1759902487514005894,5.695,15.416,2.65,0.0998,0.3855,8.7525
1759902487618775230,5.793,15.871,7.06,0.1124,0.4044,8.6017
1759902487668222993,5.685,16.242,9.77,0.1075,0.3974,8.5492
1759902487718974780,5.744,16.838,8.97,0.1051,0.3948,8.5036
1759902487768922605,5.49,16.256,6.78,0.1036,0.3933,8.4597
1759902487815349795,5.769,15.959,8.84,0.102,0.3916,8.406
1759902487864892569,5.608,15.616,6.96,0.1019,0.3917,8.3279
1759902487909506835,5.472,15.399,5.53,0.1006,0.3899,8.2417
1759902487957327579,5.292,14.761,4.26,0.1007,0.3898,8.1389
1759902488007394972,5.18,14.806,0.34,0.1012,0.3892,8.0758
1759902488056969867,5.46,14.458,-0.36,0.1014,0.3887,8.0146
1759902488108820798,5.318,14.26,-1.76,0.102,0.389,7.959
1759902488151867208,5.185,14.142,-2.8,0.1003,0.3863,7.926
1759902488200790251,5.502,17.01,0.05,0.1008,0.3874,7.8821
1759902488269962638,6.014,21.135,4.8,0.1056,0.3943,7.8101
1759902488330028567,6.328,20.095,3.64,0.1062,0.3951,7.7505
1759902488376681887,6.051,18.83,6.59,0.1036,0.3909,7.6841
1759902488429397486,5.865,17.723,2.73,0.1034,0.3912,7.6275
1759902488465219904,6.071,20.88,1.27,0.0995,0.3859,7.5861
1759902488514581423,6.401,23.222,0.31,0.1004,0.3877,7.5098
1759902488569405146,6.683,24.378,0.66,0.1022,0.3906,7.4444
1759902488617610313,6.653,22.376,-2.32,0.1017,0.3886,7.3887
1759902488670176356,6.359,19.63,-1.07,0.1024,0.3895,7.3265
1759902488719984395,6.481,19.731,3.73,0.1021,0.389,7.2924
1759902488771261443,6.485,18.394,3.25,0.1023,0.3895,7.2172
1759902488811592860,6.396,17.485,2.96,0.0999,0.3864,7.1613
1759902488859742380,6.13,17.228,6.81,0.1003,0.3866,7.0751
1759902488902969524,5.956,16.194,2.25,0.0994,0.3857,7.0277
1759902488957320868,6.329,15.513,0.86,0.1015,0.3889,6.9927
1759902489008309927,6.196,16.168,-3.09,0.1019,0.389,6.9355
1759902489056659178,6.116,16.673,-5.92,0.1015,0.3877,6.8702
1759902489101917811,5.89,15.607,-1.71,0.1006,0.3867,6.7998
1759902489150083171,5.99,17.389,-4.18,0.1008,0.3874,6.7262
1759902489231036810,6.279,16.357,-3.53,0.1081,0.3981,6.6372
1759902489278130579,5.951,15.562,-0.43,0.1047,0.3929,6.5984
1759902489338771494,5.798,16.706,-0.9,0.1058,0.3948,6.544
1759902489385160260,5.64,16.939,-2.41,0.1033,0.3916,6.4954
1759902489435325530,5.557,16.667,-1.88,0.1027,0.3913,6.44
1759902489481154610,5.497,17.587,-1.02,0.1014,0.3899,6.4048
1759902489521822508,5.446,18.26,-0.4,0.0995,0.3874,6.3665
1759902489619234378,5.956,17.421,-2.72,0.1109,0.4036,6.2479
1759902489668941656,6.029,18.467,0.64,0.1068,0.3973,6.188
1759902489719026221,6.142,19.19,2.83,0.1046,0.3941,6.1186
1759902489766808642,5.983,17.523,0.66,0.1029,0.3922,6.0651
1759902489817873316,5.998,17.637,0.44,0.1027,0.3924,6.0184
1759902489864457424,6.012,16.207,-0.19,0.1016,0.391,5.96
1759902489916349223,5.897,16.111,2.02,0.1022,0.3919,5.8809
1759902489965083577,5.963,15.685,-0.24,0.1019,0.3913,5.8375
1759902490012962141,6.011,15.38,-1.84,0.1015,0.3904,5.7889
1759902490056321957,6.002,14.901,-0.94,0.1002,0.3886,5.7563
1759902490101340553,5.802,15.516,-3.16,0.0998,0.388,5.7232
1759902490181332570,5.974,16.271,-0.2,0.1075,0.3987,5.6318
1759902490234720879,6.229,15.364,-0.26,0.1058,0.3958,5.5492
1759902490290444147,6.087,16.671,5.36,0.1053,0.3943,5.4658
1759902490334839435,6.123,17.272,7.13,0.1025,0.3898,5.4499
1759902490380450069,6.147,17.264,10.69,0.1012,0.3868,5.3932
1759902490419293973,6.147,17.269,13.17,0.0988,0.3825,5.3379
1759902490458983377,6.092,16.884,8.16,0.0976,0.3818,5.3063
1759902490528431820,6.179,17.107,9.74,0.1039,0.3918,5.2651
1759902490553754727,5.94,17.325,10.82,0.0973,0.3824,5.2505
1759902490608203156,6.252,18.284,12.39,0.1003,0.3874,5.19
1759902490655222674,6.342,18.108,9.32,0.1003,0.3877,5.1371
1759902490706538496,6.256,16.585,8.08,0.1013,0.3891,5.0953
1759902490756522340,6.239,16.28,9.17,0.1016,0.3896,5.0585
1759902490806573172,6.265,17.317,7.67,0.1018,0.3898,5.0192
1759902490856058006,6.305,18.07,6.63,0.1018,0.3896,4.9765
1759902490905347267,6.423,17.029,7.63,0.1017,0.3896,4.9397
1759902490958496321,6.324,16.927,10.94,0.1026,0.3907,4.8957
1759902491000851994,6.332,16.529,9.59,0.1006,0.388,4.8638
1759902491080198652,6.218,15.318,8.29,0.1077,0.3982,4.8125
1759902491131558848,5.998,15.372,5.35,0.1054,0.3944,4.7706
1759902491189598648,5.928,14.551,3.37,0.1056,0.3943,4.6872
1759902491236179620,6.117,17.939,4.22,0.1032,0.3912,4.6709
1759902491275856270,6.267,20.271,4.9,0.1003,0.3876,4.6457
1759902491327516979,6.405,21.425,-0.38,0.1013,0.3886,4.5862
1759902491379376055,6.508,23.883,3.42,0.102,0.39,4.5558
1759902491419529764,6.352,21.189,3.23,0.0997,0.387,4.5385
1759902491478666063,6.884,24.07,6.68,0.1028,0.3915,4.5164
1759902491515851367,7.085,26.056,8.95,0.0995,0.3864,4.515
1759902491568276622,7.14,22.976,6.38,0.1011,0.3891,4.4773
1759902491618399141,7.291,24.939,9.98,0.1015,0.3895,4.4517
1759902491664857549,7.271,22.778,7.72,0.1009,0.3886,4.4317
1759902491715318853,7.405,23.813,10.47,0.1015,0.3894,4.399
1759902491769166808,7.127,21.814,5.32,0.1026,0.3902,4.3767
1759902491811193686,6.854,20.562,1.7,0.1005,0.3853,4.3454
1759902491872297673,6.781,18.141,2.92,0.1036,0.3898,4.3099
1759902491907825670,6.552,17.444,-0.09,0.0995,0.3832,4.2987
1759902491951299724,6.628,22.264,3.58,0.0989,0.3833,4.2882
1759902492002432557,6.89,23.781,0.77,0.1004,0.3864,4.2805
1759902492051623831,7.1,24.895,-1.46,0.1009,0.3874,4.278
1759902492132155687,7.602,21.611,-1.41,0.1081,0.3979,4.2466
1759902492186552768,7.397,19.807,-0.44,0.1063,0.3952,4.2233
1759902492231846378,7.164,18.643,0.1,0.1033,0.3913,4.195
1759902492287804112,7.037,17.116,1.67,0.104,0.3926,4.1538
1759902492337995561,6.697,18.019,3.37,0.1031,0.3913,4.1448
1759902492375441633,6.593,19.99,-0.46,0.0997,0.3869,4.1345
1759902492421774131,6.624,21.438,-6.03,0.0998,0.3869,4.1084
1759902492466433373,6.708,22.564,-10.16,0.0994,0.3852,4.1038
1759902492520537246,6.866,19.969,-7.95,0.1014,0.3883,4.0843
1759902492569701188,6.822,18.135,-6.86,0.1014,0.3885,4.0721
1759902492610114141,6.553,18.452,-3.02,0.0994,0.3855,4.0823
1759902492657218089,6.452,18.724,-0.18,0.0998,0.3854,4.0803
1759902492733300158,6.575,20.0,3.18,0.1065,0.3939,4.0376
1759902492761952027,6.276,20.888,5.3,0.0995,0.3827,4.0203
1759902492809795244,6.256,18.519,4.96,0.0999,0.3833,4.0043
1759902492882678108,6.604,19.209,5.36,0.1058,0.3926,3.982
1759902492912129170,6.306,19.566,5.87,0.0994,0.3837,3.9809
1759902492957066571,6.27,19.836,6.31,0.0992,0.3846,3.9932
1759902493000744163,6.303,18.603,6.72,0.0988,0.3848,4.0771
1759902493075367643,6.421,18.311,0.3,0.1057,0.3942,4.2026
1759902493122600597,6.237,16.877,3.2,0.1034,0.391,4.2975
1759902493178935229,6.013,15.862,3.59,0.1042,0.3925,4.4608
1759902493219497406,5.836,14.909,2.32,0.101,0.3883,4.5792
1759902493267896953,5.785,15.748,4.23,0.1011,0.3889,4.7249
1759902493318573216,5.777,16.379,5.67,0.1016,0.39,4.8815
1759902493367818073,5.718,15.989,5.07,0.1016,0.3901,5.0459
1759902493419692989,5.826,16.037,3.92,0.1022,0.391,5.2166
1759902493467249510,5.791,15.901,3.21,0.1016,0.39,5.3835
1759902493516207129,5.674,15.589,0.04,0.1015,0.3893,5.5472
1759902493564203998,5.51,15.33,-0.57,0.1012,0.3886,5.7064
1759902493614352577,5.388,15.155,-1.1,0.1016,0.389,5.8734
1759902493667077643,5.622,18.103,-0.56,0.1024,0.3903,6.0631
1759902493713509421,5.758,20.424,-0.13,0.1014,0.389,6.2176
1759902493763113652,5.811,21.477,0.05,0.1016,0.3895,6.3876
1759902493804412913,6.008,21.489,3.34,0.0997,0.3865,6.5286
1759902493854863577,6.276,21.484,5.79,0.1008,0.3874,6.6846
1759902493906470613,6.389,21.051,4.2,0.1017,0.3888,6.8311
1759902493957004305,6.289,19.563,3.18,0.1019,0.3893,6.9769
1759902494002285681,6.169,20.494,6.59,0.1009,0.3877,7.103
1759902494072032222,6.196,19.925,4.64,0.1058,0.3949,7.3244
1759902494117789445,5.905,19.08,4.08,0.1031,0.3911,7.4431
1759902494167546086,5.686,17.26,3.79,0.1026,0.3906,7.6016
1759902494237665176,6.215,16.5,2.56,0.1067,0.3967,7.7882
1759902494275740826,6.377,15.979,1.79,0.1019,0.3898,7.9077
1759902494322583006,6.12,18.441,-3.61,0.1012,0.3883,8.0267
1759902494365760155,6.078,17.485,-4.11,0.0998,0.386,8.1493
1759902494416266153,5.928,19.015,1.47,0.1008,0.388,8.3102
1759902494465045954,5.991,18.734,1.57,0.101,0.3885,8.4699
1759902494563023492,5.941,16.943,1.34,0.1118,0.4038,8.7601
1759902494613783956,5.673,16.652,-3.12,0.1075,0.3968,8.8597
1759902494664751905,5.593,16.31,-2.55,0.1052,0.394,8.9099
1759902494716003794,5.618,16.983,-1.21,0.104,0.3931,8.9272
1759902494765009175,5.499,16.745,-2.34,0.1028,0.3919,8.9316
1759902494809919444,5.399,16.601,-3.14,0.1013,0.39,8.9168
1759902494860557735,5.537,18.905,0.61,0.1017,0.3908,8.8959
1759902494905288092,5.531,20.347,-0.66,0.1006,0.3894,8.8726
1759902494956856205,5.552,19.23,-3.04,0.1016,0.3906,8.8513
1759902495006911715,5.434,17.853,-0.73,0.1018,0.3908,8.8289
1759902495050680290,5.302,16.901,0.84,0.1005,0.3885,8.7827
1759902495126996716,5.334,16.08,-0.81,0.107,0.3978,8.7441
1759902495173226108,5.201,15.571,-1.87,0.104,0.3931,8.8694
1759902495223885189,5.361,15.484,-5.41,0.1032,0.3916,9.1782
1759902495283489810,5.266,15.237,1.94,0.1048,0.3931,9.3232
1759902495321153816,5.26,15.712,6.84,0.1006,0.3853,9.5146
1759902495370570901,5.096,15.084,3.47,0.101,0.3866,9.7555
1759902495410998521,4.951,14.71,1.13,0.0991,0.3847,9.8315
1759902495464170479,5.178,14.976,-2.43,0.101,0.3876,9.9848
1759902495513375069,5.031,14.813,-4.45,0.1012,0.3874,10.1421
1759902495555311734,5.042,14.896,-2.45,0.0996,0.3855,10.2553
1759902495604838618,5.182,14.695,-3.35,0.1005,0.3872,10.4014
1759902495654469269,5.278,14.532,-3.92,0.1011,0.3882,10.5478
1759902495706544057,5.097,14.63,0.15,0.1019,0.3893,10.6967
1759902495750337940,5.256,20.351,1.36,0.1005,0.3872,10.8123
1759902495808162730,5.481,20.036,1.07,0.1029,0.3907,10.9802
1759902495854897055,5.307,17.819,-0.17,0.1018,0.3892,11.0986
1759902495907813826,5.318,18.41,5.17,0.1025,0.3892,11.257
1759902495956327960,5.373,18.871,8.83,0.1018,0.3864,11.4101
1759902495999719327,5.348,17.835,6.36,0.1003,0.3845,11.5265
1759902496050234393,5.306,18.536,6.17,0.1011,0.3864,11.6348
1759902496130389701,5.298,17.118,4.06,0.108,0.397,11.8576
1759902496174052665,5.327,17.662,3.12,0.1039,0.3912,11.9668
1759902496214132974,5.216,18.674,1.54,0.1007,0.3872,12.0719
1759902496269004358,5.01,17.723,0.21,0.1023,0.3898,12.1813
1759902496318474554,4.817,17.065,-0.89,0.102,0.3892,12.2954
1759902496367869457,4.865,17.632,-4.05,0.1018,0.3882,12.4338
1759902496419582365,4.757,16.629,1.15,0.1022,0.389,12.6045
1759902496469342433,4.842,17.833,1.33,0.102,0.389,12.7796
1759902496519690371,4.909,16.887,1.77,0.1021,0.3893,12.9175
1759902496569092427,4.817,16.845,1.67,0.1019,0.3893,13.0446
1759902496610572031,4.73,16.833,1.59,0.1,0.3868,13.1532
1759902496654624287,4.743,16.69,3.58,0.0994,0.3863,13.2567
1759902496704768737,4.627,16.009,1.74,0.1006,0.3882,13.4137
1759902496755454598,4.435,15.547,-0.39,0.1013,0.3891,13.5438
1759902496801035355,4.382,15.53,-0.06,0.1006,0.388,13.6681
1759902496850231920,4.343,15.525,0.18,0.101,0.3887,13.8043
1759902496900493634,4.407,15.639,2.18,0.1015,0.3894,13.9516
1759902496950696625,4.223,15.097,0.81,0.1018,0.3898,14.0965
1759902497000518231,4.39,14.814,2.12,0.1018,0.3899,14.2317
1759902497050444736,4.319,16.123,-1.19,0.1019,0.3898,14.3633
1759902497132800866,4.381,16.19,-0.4,0.109,0.3998,14.5503
1759902497181193199,4.434,15.859,-0.84,0.1055,0.3945,14.6588
1759902497228244868,4.534,15.595,-1.78,0.1033,0.3916,14.758
1759902497281780217,4.404,15.097,-3.08,0.1034,0.3919,14.9473
1759902497339892578,4.462,16.634,-9.31,0.1045,0.3916,15.1561
1759902497369878861,4.542,17.663,-12.99,0.0987,0.3809,15.2678
1759902497425504694,4.364,16.773,-5.83,0.1012,0.3858,15.4556
1759902497473214055,4.426,16.402,-2.01,0.1009,0.3848,15.5754
1759902497525154691,4.31,15.771,-2.08,0.1017,0.3864,15.717
1759902497581360376,4.36,16.257,-0.96,0.1032,0.3889,15.8466
1759902497623168106,4.397,16.586,-0.2,0.1007,0.3857,15.9659
1759902497674755620,4.326,16.004,-0.45,0.1016,0.3877,16.1291
1759902497724949976,4.366,17.183,-1.31,0.1018,0.3885,16.2555
1759902497766984407,4.204,16.297,-1.12,0.1,0.3864,16.3431
1759902497822166256,4.044,15.635,-3.16,0.102,0.3894,16.4826
1759902497864072272,3.93,15.2,-4.49,0.1001,0.3862,16.5917
1759902497907038064,3.789,15.181,-3.73,0.0992,0.3853,16.7203
1759902497952000803,3.788,15.239,-3.72,0.0992,0.3856,16.8412
1759902498007665419,3.694,14.88,-4.82,0.1017,0.3894,16.9554
1759902498050866218,3.636,14.657,-5.42,0.1001,0.3873,17.049
1759902498120225733,3.495,15.284,6.21,0.1051,0.3888,17.1785
1759902498168655072,3.439,14.828,6.61,0.1032,0.3832,17.2898
1759902498210912838,3.548,15.732,5.89,0.1007,0.3802,17.3675
1759902498267049432,3.637,16.603,4.84,0.1024,0.3844,17.4585
1759902498316031372,3.911,19.863,10.52,0.1018,0.384,17.5282
1759902498366739415,4.066,21.046,12.36,0.1018,0.3844,17.5935
1759902498413247431,4.199,21.88,13.37,0.1008,0.3839,17.6722
1759902498508767676,4.361,23.215,10.21,0.1106,0.3999,17.8069
1759902498555440737,4.191,20.796,8.49,0.1058,0.3927,17.8946
1759902498600554402,4.051,19.195,7.03,0.1029,0.3887,17.9508
1759902498650750331,3.951,17.957,6.37,0.1024,0.3887,18.0156
1759902498701282128,3.844,16.952,5.9,0.1022,0.3893,18.094
1759902498750791011,3.743,16.376,3.81,0.1019,0.389,18.1985
1759902498801436634,3.615,15.689,1.76,0.102,0.3887,18.2683
1759902498851038624,3.495,14.935,3.08,0.1018,0.389,18.3337
1759902498902208564,3.398,14.426,3.69,0.102,0.3901,18.4116
1759902498954237768,3.402,14.709,5.15,0.1023,0.391,18.4861
1759902499002575334,3.471,16.574,6.39,0.1016,0.3905,18.5441
1759902499051257143,3.686,19.301,9.09,0.1012,0.3905,18.6365
1759902499123271767,3.653,19.237,3.74,0.1064,0.3953,18.7212
1759902499194848687,3.584,17.801,2.54,0.109,0.3967,18.8232
1759902499226077053,3.817,18.751,2.08,0.1017,0.3858,18.8799
1759902499271975150,3.851,17.764,0.95,0.1007,0.3849,18.9266
1759902499321529498,3.853,17.411,1.2,0.1011,0.3862,18.9754
1759902499366541681,3.834,17.147,1.37,0.1002,0.3858,19.0301
1759902499424689819,3.757,18.9,3.77,0.1028,0.39,19.0526
1759902499477497584,3.595,17.553,1.31,0.103,0.3905,19.087
1759902499526052613,3.772,17.927,1.58,0.1022,0.3897,19.0688
1759902499571542193,3.698,16.934,1.65,0.101,0.3884,19.0654
1759902499621336328,3.701,18.545,-1.89,0.1013,0.3891,19.0869
1759902499672841275,3.759,19.77,-4.44,0.1018,0.3898,19.0828
1759902499716610404,3.649,18.839,-3.03,0.1003,0.3879,19.0598
1759902499760048414,3.763,19.398,-3.09,0.0994,0.3869,19.0726
1759902499809305798,3.68,18.115,-3.06,0.1002,0.3886,19.068
1759902499859428989,3.592,17.196,-2.79,0.1008,0.39,19.0338
1759902499914505066,3.465,16.945,-0.86,0.1021,0.3919,18.8094
1759902499956247311,3.666,20.412,0.4,0.0999,0.3885,18.6823
1759902500004678445,4.001,22.752,-0.25,0.1003,0.3887,18.6264
1759902500051417781,3.895,20.59,-0.84,0.1002,0.3878,18.5615
1759902500121308696,3.987,18.803,-2.83,0.1052,0.3958,18.4774
1759902500171820856,3.817,18.039,-0.13,0.1036,0.3931,18.3965
1759902500216920395,3.71,17.505,1.71,0.1016,0.3892,18.305
1759902500267566510,3.667,16.746,1.64,0.1018,0.3892,18.1817
1759902500317879190,3.545,15.898,1.85,0.1018,0.3891,18.0564
1759902500367229531,3.623,16.061,-2.13,0.1016,0.3895,17.9498
1759902500418685095,3.565,17.212,1.39,0.1019,0.3898,17.8091
1759902500469544685,3.825,17.973,0.89,0.102,0.3899,17.7049
1759902500518266150,4.04,18.488,0.4,0.1016,0.3895,17.6321
1759902500562670888,3.959,17.828,0.29,0.1004,0.3879,17.5523
1759902500610745153,3.957,18.593,2.2,0.1006,0.3876,17.4453
1759902500658725689,3.898,17.432,2.0,0.1007,0.3872,17.3308
1759902500704712966,3.902,18.091,-2.7,0.1002,0.387,17.2572
1759902500755881053,3.995,18.661,-6.41,0.1011,0.3882,17.1489
1759902500804615513,3.93,17.24,-3.68,0.1011,0.3882,17.0875
1759902500854755615,3.881,16.429,-3.49,0.1014,0.3889,17.0233
1759902500904517769,3.763,16.066,-1.49,0.1014,0.3886,16.9187
1759902500950994386,3.897,15.848,-0.55,0.1007,0.3871,16.7917
1759902501001044498,4.168,18.95,4.0,0.1012,0.3862,16.6937
1759902501078450281,4.353,18.035,2.25,0.1074,0.3944,16.5501
1759902501131783956,4.575,17.624,1.7,0.1056,0.3919,16.4137
1759902501179903136,4.522,17.147,0.06,0.1034,0.3898,16.3043
1759902501229577733,4.501,16.833,-1.15,0.1026,0.3897,16.2143
1759902501274156171,4.458,16.42,-2.21,0.101,0.3883,16.14
1759902501324423996,4.354,15.837,-1.85,0.1014,0.3895,16.0905
1759902501377347932,4.519,16.393,-0.32,0.1022,0.3907,16.1031
1759902501424581959,4.5,16.225,-2.96,0.1014,0.3899,16.0964
1759902501476448554,4.514,16.14,-5.01,0.102,0.3911,16.051
1759902501520363250,4.615,16.883,-4.89,0.1005,0.3892,16.0187
1759902501577866282,4.788,16.507,-6.9,0.1028,0.3927,16.0563
1759902501623206338,4.919,16.022,-3.1,0.1012,0.3897,16.0977
1759902501668332948,4.772,15.827,-2.74,0.1003,0.3881,16.0476
1759902501719569605,4.648,15.696,-2.54,0.1011,0.3892,16.017
1759902501763201644,4.473,15.194,-2.61,0.0998,0.3873,16.0101
1759902501809438625,4.787,15.197,-2.22,0.0997,0.3872,16.0157
1759902501850390388,4.985,15.271,-1.74,0.0984,0.3853,16.0384
1759902501900339868,4.686,15.351,1.83,0.0997,0.3856,16.0122
1759902501951349444,4.48,15.42,4.43,0.1006,0.3841,15.9672
1759902502000445942,4.463,15.272,3.71,0.1007,0.3834,15.9396
1759902502077177483,4.56,15.568,2.02,0.1069,0.3929,15.997
1759902502122444781,4.771,15.605,0.15,0.1036,0.3888,15.988
1759902502172688060,4.881,15.344,1.25,0.1028,0.3883,15.9503
1759902502223821461,4.922,15.425,-0.7,0.1025,0.3891,15.9119
1759902502272142144,4.725,15.28,1.91,0.1018,0.3878,15.8799
1759902502326488103,4.62,15.044,0.52,0.1027,0.3897,15.8224
1759902502379838630,4.78,14.481,0.05,0.1031,0.3904,15.8437
1759902502414991437,4.892,14.077,-0.0,0.0991,0.385,15.8462
1759902502463870692,4.729,13.709,-2.76,0.1,0.3872,15.8457
1759902502513462271,4.731,14.47,-4.54,0.1008,0.3887,15.7377
1759902502568235623,4.92,15.403,0.89,0.1023,0.3899,15.6107
1759902502610008357,5.13,16.067,4.49,0.1001,0.3845,15.5798
1759902502654765925,4.98,15.931,0.55,0.0996,0.3843,15.5283
1759902502704150050,5.034,15.459,-1.59,0.1004,0.3863,15.481
1759902502750115525,5.057,17.794,-4.33,0.1001,0.3863,15.4749
1759902502800414220,4.86,16.757,-3.99,0.101,0.3879,15.3894
1759902502850409927,4.694,16.021,-3.65,0.1014,0.3887,15.321
1759902502900526195,4.644,16.028,-0.44,0.1016,0.388,15.3215
1759902502951418668,4.797,15.945,-2.16,0.1019,0.3885,15.2516
1759902502999669087,4.872,15.6,-3.23,0.1015,0.3883,15.11
1759902503071445117,4.721,15.086,-3.11,0.1065,0.3956,14.9758
1759902503121537098,4.931,15.44,-4.22,0.1045,0.3928,14.8948
1759902503168180792,5.344,15.401,-4.27,0.1026,0.3905,14.8439
1759902503219502531,5.058,15.299,-4.71,0.1025,0.391,14.8083
1759902503268499661,4.847,15.266,-4.97,0.102,0.3906,14.8187
1759902503313145948,4.941,15.329,-5.1,0.1007,0.389,14.7848
1759902503365564602,5.248,15.353,-4.96,0.1017,0.3907,14.7016
1759902503414848597,5.575,15.653,-4.14,0.1016,0.3903,14.6541
1759902503465004730,5.356,15.188,-1.68,0.1017,0.3893,14.6161
1759902503509641108,5.197,14.875,0.18,0.1004,0.3862,14.5806
1759902503555304299,5.232,15.053,-1.41,0.0999,0.3857,14.511
1759902503600164242,5.39,15.065,-2.18,0.0995,0.3856,14.4529
1759902503680491540,5.1,14.702,-3.43,0.1072,0.3971,14.3693
1759902503700200473,4.911,15.217,-2.32,0.0979,0.3836,14.3493
1759902503749988426,4.789,15.634,-1.88,0.0994,0.3867,14.2967
1759902503800210635,4.614,15.138,-2.23,0.1004,0.3883,14.2509
1759902503850378069,4.507,14.844,0.49,0.101,0.3878,14.1937
1759902503901106049,4.439,14.941,1.38,0.1014,0.3874,14.1143
1759902503950767432,4.545,14.848,-1.65,0.1015,0.388,14.0378
1759902504000503716,4.646,14.797,-3.9,0.1016,0.3887,13.9316
1759902504080767724,4.709,14.463,-3.61,0.1083,0.3985,13.8229
1759902504133046102,4.833,14.735,-7.08,0.1059,0.3952,13.7315
1759902504182535357,4.738,14.647,-7.36,0.1039,0.393,13.6648
1759902504231100946,4.671,14.608,-7.51,0.1026,0.3918,13.6079
1759902504285748098,4.568,14.515,-2.34,0.1031,0.3912,13.5368
1759902504320094361,4.516,14.21,-1.97,0.0988,0.3845,13.4842
1759902504370676444,4.59,15.058,-1.69,0.1001,0.3866,13.4126
1759902504414291029,4.655,15.653,-1.52,0.0992,0.3854,13.3337
1759902504460246936,4.807,14.985,-1.46,0.0993,0.3855,13.2627
1759902504504792903,4.847,15.221,0.02,0.099,0.3847,13.2132
1759902504556348927,5.12,15.47,3.12,0.1005,0.3853,13.1468
1759902504605830077,5.363,15.718,4.1,0.1008,0.3847,13.0775
1759902504656275500,5.557,15.852,4.63,0.1012,0.3849,12.9841
1759902504700146252,5.347,16.293,6.94,0.1,0.3823,12.9021
1759902504750744766,5.14,15.807,1.93,0.1008,0.3848,12.7876
1759902504799872204,5.393,15.348,3.37,0.101,0.3857,12.6837
1759902504850719460,5.462,15.683,3.19,0.1016,0.3871,12.6164
1759902504899825066,5.338,15.182,-0.57,0.1015,0.3876,12.5586
1759902504951390388,5.266,14.854,-3.42,0.102,0.3885,12.5199
1759902505001015482,5.025,14.219,-3.48,0.1019,0.3887,12.5023
1759902505089752570,4.855,13.941,-3.97,0.1102,0.401,12.432
1759902505131963055,4.704,13.81,-3.93,0.1048,0.3934,12.4002
1759902505180489680,4.737,14.056,-5.1,0.1031,0.3919,12.3743
1759902505230769699,4.895,15.02,-4.36,0.1026,0.3917,12.3731
1759902505280988491,4.924,14.851,-6.81,0.1023,0.3918,12.3825
1759902505336973055,4.787,14.69,-4.66,0.1034,0.3934,12.6162
1759902505426663937,5.168,14.706,-0.5,0.111,0.4023,12.7495
1759902505472848779,5.094,14.73,-1.2,0.106,0.3949,12.9581
1759902505523360578,5.066,14.92,3.25,0.1041,0.3909,13.0136
