frame_0,1759902465823761502
frame_1,1759902465825585586
frame_2,1759902465850649069
frame_3,1759902465899352683
frame_4,1759902465986801311
frame_5,1759902466021641707
frame_6,1759902466078617729
frame_7,1759902466128977688
frame_8,1759902466177300787
frame_9,1759902466228968687
frame_10,1759902466277911998
frame_11,1759902466324885947
frame_12,1759902466373107272
frame_13,1759902466411003830
frame_14,1759902466463438000
frame_15,1759902466511390243
frame_16,1759902466560086983
frame_17,1759902466605264380
frame_18,1759902466653775437
frame_19,1759902466722405979
frame_20,1759902466777208551
frame_21,1759902466841842981
frame_22,1759902466885798140
frame_23,1759902466939382711
frame_24,1759902466984388591
