camera,lidar_ts,radar_ts,distance_m
1759902471400356010,1759902471376990372,1759902471385942484,7.25
1759902471450487534,1759902471427197099,1759902471454067634,7.24
1759902471499660752,1759902471479873881,1759902471506022390,7.26
1759902471581048846,1759902471574142911,1759902471570081715,7.23
1759902471622336233,1759902471628257833,1759902471628293010,7.22
1759902471672782075,1759902471675906637,1759902471692265108,7.21
1759902471730669553,1759902471724416512,1759902471746722803,7.22
1759902471778509011,1759902471778414661,1759902471809889096,7.21
1759902471817616896,1759902471825094841,1759902471809889096,7.21
1759902471870413397,1759902471874058500,1759902471866324919,7.18
1759902471912604776,1759902471925903999,1759902471930899264,7.17
1759902471969667012,1759902471974651877,1759902471986634452,7.16
1759902472015057795,1759902472029121615,1759902471986634452,7.19
1759902472062353637,1759902472074193260,1759902472049887862,7.15
1759902472113889937,1759902472129910694,1759902472105765972,7.14
1759902472162559236,1759902472174724519,1759902472174412494,7.11
1759902472208878818,1759902472230393521,1759902472226298320,7.09
1759902472273250017,1759902472280778908,1759902472292290496,7.08
1759902472306230280,1759902472325026955,1759902472292290496,7.1
1759902472354297401,1759902472382229789,1759902472346117920,7.07
1759902472404654234,1759902472382229789,1759902472414194307,7.07
1759902472450445220,1759902472431361268,1759902472466028554,7.05
1759902472531381473,1759902472525971998,1759902472534295744,7.01
1759902472568586273,1759902472577875478,1759902472587053731,7.0
1759902472628522764,1759902472624574403,1759902472654293133,7.01
1759902472664903785,1759902472678905667,1759902472654293133,7.0
1759902472732495448,1759902472732673998,1759902472705971724,6.98
1759902472778534737,1759902472777034138,1759902472774458612,6.97
1759902472828842707,1759902472824758627,1759902472826304081,6.95
1759902472880995541,1759902472877435990,1759902472892794737,6.98
1759902472938156845,1759902472928965978,1759902472946936339,6.94
1759902472978826576,1759902472974450931,1759902472946936339,6.92
1759902473024397072,1759902473028247426,1759902473014464081,6.89
1759902473071913143,1759902473078367979,1759902473065953451,6.87
1759902473114299534,1759902473128380386,1759902473134082688,6.85
1759902473164093234,1759902473174752930,1759902473186334942,6.87
1759902473215274488,1759902473225324041,1759902473186334942,6.85
1759902473263446639,1759902473276936876,1759902473250265882,6.83
1759902473317150939,1759902473327631954,1759902473306335547,6.81
1759902473355878139,1759902473379081138,1759902473370241078,6.77
1759902473400198563,1759902473379081138,1759902473427092122,6.77
1759902473450377868,1759902473427661186,1759902473427092122,6.71
1759902473523143517,1759902473524931343,1759902473546057435,6.73
1759902473578700446,1759902473575157607,1759902473610059220,6.76
1759902473619190153,1759902473626577295,1759902473610059220,6.81
1759902473670396715,1759902473678740749,1759902473666012584,6.79
1759902473704669169,1759902473724687341,1759902473730389293,6.77
1759902473759147844,1759902473774998447,1759902473786957828,6.75
1759902473804476709,1759902473825308531,1759902473786957828,6.74
1759902473854717291,1759902473876895207,1759902473850599307,6.73
1759902473905452234,1759902473931971189,1759902473908107041,6.73
1759902473960386256,1759902473980374852,1759902473970389822,6.75
1759902474004524333,1759902474024287720,1759902474027145995,6.75
1759902474059858427,1759902474074666705,1759902474092416426,6.72
1759902474104660469,1759902474126983782,1759902474092416426,6.71
1759902474154616058,1759902474177118693,1759902474146297412,6.7
1759902474203853018,1759902474228189806,1759902474210782117,6.73
1759902474255842411,1759902474278110809,1759902474266519780,6.71
1759902474306213761,1759902474331928004,1759902474330434499,6.71
1759902474356689932,1759902474376060700,1759902474330434499,6.68
1759902474407889310,1759902474426022231,1759902474386298502,6.65
1759902474449562111,1759902474426022231,1759902474450109504,6.65
1759902474528442147,1759902474525955380,1759902474506097082,6.66
1759902474565897053,1759902474577403311,1759902474570327302,6.68
1759902474609517485,1759902474629959143,1759902474625910261,6.67
1759902474670932392,1759902474678045822,1759902474692779768,6.66
1759902474722803149,1759902474724810252,1759902474748037737,6.65
1759902474815742375,1759902474825102405,1759902474814171543,6.62
1759902474865344922,1759902474875564228,1759902474866970117,6.66
1759902474908061992,1759902474929542960,1759902474930648156,6.66
1759902474963160638,1759902474975645670,1759902474988291619,6.65
1759902475017806250,1759902475029065738,1759902474988291619,6.67
1759902475059883371,1759902475082128936,1759902475054147836,6.56
1759902475112783659,1759902475129416172,1759902475106201401,6.55
1759902475159043268,1759902475178450105,1759902475170361828,6.53
1759902475215992418,1759902475226036010,1759902475226409642,6.53
1759902475255034969,1759902475274339933,1759902475226409642,6.63
1759902475310374924,1759902475325582132,1759902475292795137,6.65
1759902475355313537,1759902475376919032,1759902475346053367,6.65
1759902475432752036,1759902475426513152,1759902475410291492,6.65
1759902475479118458,1759902475480425288,1759902475466084741,6.63
1759902475527680583,1759902475527078376,1759902475530637435,6.62
1759902475576229412,1759902475577702488,1759902475586769099,6.62
1759902475626307975,1759902475630886065,1759902475651153021,6.65
1759902475668615314,1759902475684624380,1759902475651153021,6.64
1759902475720104284,1759902475724933042,1759902475706317382,6.63
1759902475768176265,1759902475775541384,1759902475770876068,6.63
1759902475813340617,1759902475824474285,1759902475826553806,6.62
1759902475863817449,1759902475875057890,1759902475893208815,6.63
1759902475908939440,1759902475930280782,1759902475893208815,6.66
1759902475957107143,1759902475976996179,1759902475946468959,6.66
1759902476000677068,1759902475976996179,1759902476014279328,6.66
1759902476051845727,1759902476027448815,1759902476066173450,6.64
1759902476101837495,1759902476077242094,1759902476130951573,6.64
1759902476152656829,1759902476131971767,1759902476130951573,6.63
1759902476200204461,1759902476225092038,1759902476187332632,6.64
1759902476250525456,1759902476275255864,1759902476250670652,6.64
1759902476299578926,1759902476275255864,1759902476306392144,6.64
1759902476350408359,1759902476329411984,1759902476374330648,6.63
1759902476402967878,1759902476429248640,1759902476428924041,6.62
1759902476480387833,1759902476480009492,1759902476492472152,6.66
1759902476538796874,1759902476524415630,1759902476546269829,6.64
1759902476588565547,1759902476575070170,1759902476610202502,6.63
1759902476631814450,1759902476628352947,1759902476610202502,6.62
1759902476679228628,1759902476678698138,1759902476666286184,6.61
1759902476730904303,1759902476729363759,1759902476730607247,6.6
1759902476778457376,1759902476779985927,1759902476786378083,6.63
1759902476828625359,1759902476829431354,1759902476850223350,6.62
1759902476875060221,1759902476874536544,1759902476850223350,6.6
1759902476926041995,1759902476924117549,1759902476906443181,6.59
1759902476973258055,1759902476974839317,1759902476970400882,6.53
1759902477025148840,1759902477025467777,1759902477028936946,6.52
1759902477064411670,1759902477077702598,1759902477092192930,6.5
1759902477114227182,1759902477129745352,1759902477092192930,6.5
1759902477161885475,1759902477177436157,1759902477148714676,6.55
1759902477205863197,1759902477228111136,1759902477214994711,6.66
1759902477260403268,1759902477278953734,1759902477267420645,6.63
1759902477309554304,1759902477324501467,1759902477334323817,6.63
1759902477350546589,1759902477375340629,1759902477334323817,6.62
1759902477444978479,1759902477424800743,1759902477454663278,6.62
1759902477486919051,1759902477477644043,1759902477507697320,6.61
1759902477533214056,1759902477528670502,1759902477507697320,6.65
1759902477570178178,1759902477578189499,1759902477577663246,6.64
1759902477623085349,1759902477625554092,1759902477629139802,6.65
1759902477678927992,1759902477679405151,1759902477692594094,6.65
1759902477724271155,1759902477728571476,1759902477746007830,6.66
1759902477772077439,1759902477778786299,1759902477746007830,6.66
1759902477818468207,1759902477827747443,1759902477810382024,6.69
1759902477870195140,1759902477880524496,1759902477866597527,6.69
1759902477918757094,1759902477931273006,1759902477935100947,6.68
1759902477964492645,1759902477976754502,1759902477986982795,6.68
1759902478023379085,1759902478026288557,1759902478053984555,6.68
1759902478067647160,1759902478074773315,1759902478053984555,6.72
1759902478117793011,1759902478130844142,1759902478106355615,6.7
1759902478170232882,1759902478176268098,1759902478170435949,6.69
1759902478217796605,1759902478227753361,1759902478227545836,6.68
1759902478281067347,1759902478275052570,1759902478292553006,6.68
1759902478310501756,1759902478326749976,1759902478292553006,6.67
1759902478357011651,1759902478376353685,1759902478347074983,6.7
1759902478433147860,1759902478430152765,1759902478414128240,6.69
1759902478483743438,1759902478478468881,1759902478466965097,6.69
1759902478541067332,1759902478526751553,1759902478533902144,6.69
1759902478581712867,1759902478575111762,1759902478586541505,6.68
1759902478638698637,1759902478625661663,1759902478650806010,6.68
1759902478675232299,1759902478676989065,1759902478650806010,6.71
1759902478762893612,1759902478780583198,1759902478770960278,6.69
1759902478809498568,1759902478833041785,1759902478827255893,6.68
1759902478860533934,1759902478876876274,1759902478893209486,6.68
