camera,kf_distance,kf_velocity,ego_vx
1759902472568586273,7.0155,-0.2183,22.2183
1759902472628522764,7.0048,-0.2162,22.2587
1759902472664903785,6.9978,-0.2154,22.2814
1759902472732495448,6.9823,-0.2163,22.2573
1759902472778534737,6.9716,-0.2169,22.2607
1759902472828842707,6.9574,-0.2198,22.2181
1759902472880995541,6.9563,-0.2107,22.1844
1759902472938156845,6.943,-0.2119,22.205
1759902472978826576,6.93,-0.2155,22.1891
1759902473024397072,6.9111,-0.2231,22.2152
1759902473071913143,6.8913,-0.2308,22.2508
1759902473114299534,6.8721,-0.2384,22.2312
1759902473164093234,6.8632,-0.236,22.2253
1759902473215274488,6.8508,-0.2363,22.1883
1759902473263446639,6.8366,-0.2387,22.1827
1759902473317150939,6.8196,-0.2423,22.1737
1759902473355878139,6.7981,-0.2523,22.1813
1759902473400198563,6.7819,-0.2565,22.1467
1759902473450377868,6.7513,-0.2716,22.1496
1759902473523143517,6.7311,-0.272,22.1265
1759902473578700446,6.7296,-0.2592,22.1188
1759902473619190153,6.7468,-0.2349,22.1421
1759902473670396715,6.7516,-0.2201,22.1456
1759902473704669169,6.7518,-0.2138,22.1402
1759902473759147844,6.7431,-0.2113,22.1523
1759902473804476709,6.7355,-0.2097,22.1915
1759902473854717291,6.7265,-0.2084,22.2082
1759902473905452234,6.7202,-0.2046,22.2623
1759902473960386256,6.7214,-0.1935,22.2595
1759902474004524333,6.7241,-0.1838,22.2469
1759902474059858427,6.7158,-0.1822,22.1927
1759902474104660469,6.7083,-0.1816,22.1563
1759902474154616058,6.6995,-0.1814,22.1382
1759902474203853018,6.7025,-0.171,22.1637
1759902474255842411,6.6986,-0.1666,22.181
1759902474306213761,6.6962,-0.1613,22.2279
1759902474356689932,6.6856,-0.1635,22.2607
1759902474407889310,6.669,-0.1708,22.2487
1759902474449562111,6.6583,-0.1738,22.2221
1759902474528442147,6.6494,-0.1692,22.2219
1759902474565897053,6.6543,-0.1593,22.2338
1759902474609517485,6.6542,-0.1535,22.2466
1759902474670932392,6.6494,-0.1493,22.247
1759902474722803149,6.6442,-0.147,22.2438
1759902474815742375,6.6272,-0.1505,22.1879
1759902474865344922,6.6324,-0.1384,22.1983
1759902474908061992,6.6368,-0.1293,22.1994
1759902474963160638,6.6359,-0.1238,22.2119
1759902475017806250,6.6417,-0.1128,22.1754
1759902475059883371,6.6137,-0.1322,22.1533
1759902475112783659,6.5895,-0.1466,22.1464
1759902475159043268,6.5668,-0.1597,22.1595
1759902475215992418,6.5493,-0.1669,22.208
1759902475255034969,6.5689,-0.1458,22.2045
1759902475310374924,6.5878,-0.1232,22.1831
1759902475355313537,6.6026,-0.1064,22.1526
1759902475432752036,6.6117,-0.0903,22.166
1759902475479118458,6.6144,-0.0842,22.2132
1759902475527680583,6.6133,-0.0817,22.2729
1759902475576229412,6.6125,-0.0789,22.2858
1759902475626307975,6.6211,-0.0683,22.2769
1759902475668615314,6.6248,-0.063,22.2553
1759902475720104284,6.6241,-0.0608,22.2147
1759902475768176265,6.6238,-0.0586,22.1895
1759902475813340617,6.6208,-0.0589,22.2029
1759902475863817449,6.6215,-0.0558,22.253
1759902475908939440,6.6313,-0.0457,22.299
1759902475957107143,6.6384,-0.0379,22.327
1759902476000677068,6.6437,-0.0322,22.3361
1759902476051845727,6.6414,-0.0327,22.3464
1759902476101837495,6.6398,-0.0327,22.3069
1759902476152656829,6.6357,-0.0348,22.2285
1759902476200204461,6.6359,-0.0333,22.1764
1759902476250525456,6.6359,-0.0317,22.1165
1759902476299578926,6.6361,-0.0303,22.1055
1759902476350408359,6.6332,-0.0315,22.1007
1759902476402967878,6.628,-0.0346,22.1223
1759902476480387833,6.6363,-0.0239,22.1924
1759902476538796874,6.6365,-0.0224,22.2411
1759902476588565547,6.6337,-0.0239,22.2558
1759902476631814450,6.6288,-0.0272,22.2528
1759902476679228628,6.6222,-0.0318,22.2439
1759902476730904303,6.6143,-0.0371,22.2455
1759902476778457376,6.6178,-0.0327,22.2199
1759902476828625359,6.6173,-0.0317,22.2044
1759902476875060221,6.6111,-0.0357,22.2183
1759902476926041995,6.6034,-0.0406,22.2188
1759902476973258055,6.58,-0.0588,22.2165
1759902477025148840,6.5597,-0.0735,22.2342
1759902477064411670,6.5398,-0.0874,22.2343
1759902477114227182,6.5248,-0.0963,22.2159
1759902477161885475,6.5292,-0.0888,22.166
1759902477205863197,6.5656,-0.0554,22.1739
1759902477260403268,6.5829,-0.0378,22.1856
1759902477309554304,6.5959,-0.025,22.1914
1759902477350546589,6.6024,-0.0187,22.1953
1759902477444978479,6.6068,-0.0125,22.1753
1759902477486919051,6.6074,-0.0114,22.1654
1759902477533214056,6.6201,0.0003,22.161
1759902477570178178,6.6261,0.0052,22.1993
1759902477623085349,6.6335,0.0113,22.249
1759902477678927992,6.639,0.0156,22.3004
1759902477724271155,6.6458,0.0208,22.3025
1759902477772077439,6.6508,0.0242,22.2968
1759902477818468207,6.6634,0.0338,22.2394
1759902477870195140,6.6726,0.0403,22.2073
1759902477918757094,6.6762,0.0417,22.1971
1759902477964492645,6.6787,0.0421,22.2164
1759902478023379085,6.6808,0.0418,22.2394
1759902478067647160,6.694,0.0515,22.2788
1759902478117793011,6.6976,0.0524,22.3144
1759902478170232882,6.6972,0.0497,22.281
1759902478217796605,6.6936,0.0446,22.2634
1759902478281067347,6.6914,0.0399,22.2439
1759902478310501756,6.6858,0.0344,22.2248
1759902478357011651,6.6912,0.0375,22.1894
1759902478433147860,6.6928,0.0363,22.1951
1759902478483743438,6.6932,0.035,22.2059
1759902478541067332,6.6936,0.0335,22.206
1759902478581712867,6.6904,0.0296,22.2168
1759902478638698637,6.6884,0.0263,22.2367
1759902478675232299,6.6956,0.0314,22.2395
1759902478762893612,6.6957,0.0289,22.2018
1759902478809498568,6.6918,0.0241,22.2185
1759902478860533934,6.689,0.0205,22.2038
1759902478928846340,6.6965,0.0262,22.1537
1759902478956869029,6.7011,0.0294,22.1435
1759902479006282826,6.7048,0.0312,22.167
1759902479083071137,6.7018,0.0263,22.2643
1759902479108503503,6.6988,0.0233,22.2768
1759902479163772142,6.697,0.0207,22.2486
1759902479242686894,6.7116,0.0329,22.2134
1759902479266939262,6.7147,0.0347,22.2155
